Load_percent,LP_insert_ms,LP_insert_cols,LP_search_ns,LP_search_col,DH_insert_ms,DH_insert_cols,DH_search_ns,DH_search_col,BFS_insert_ms,BFS_insert_cols,BFS_search_ns,BFS_search_col
5,1.217579,138,233.99463333333333,387,1.441909,132,138.74943333333331,416,0.82535,132,96.71493333333335,386
10,1.329534,551,142.7541666666667,854,1.333801,543,93.70043333333332,816,1.042969,508,88.08543333333334,768
15,2.099853,1308,175.73376666666664,1421,1.20759,1265,95.41966666666667,1246,1.533086,1142,90.75243333333333,1142
20,2.856208,2464,155.3223,2056,1.323833,2298,99.10979999999999,1869,2.216988,2009,96.12143333333334,1495
25,2.665138,4137,157.2836333333333,2737,1.849765,3831,104.87956666666666,2409,2.329234,3173,89.8401,1863
30,3.916058,6479,272.93163333333337,3774,2.453991,5788,113.71463333333332,3124,2.618343,4609,87.11013333333334,2285
35,5.987069,9442,294.07106666666664,4810,3.704991,8219,116.41253333333333,3883,3.466795,6226,90.6681,2672
40,10.027654,13390,347.93670000000003,6102,3.655401,11195,111.51979999999999,4748,3.434567,8043,93.12633333333333,3003
45,10.099525,18304,243.1051666666667,7789,4.014077,14925,119.43886666666667,5707,3.935503,10145,103.68029999999999,3350
50,5.346676,24838,285.8589666666667,9942,4.657746,19498,153.38739999999999,6913,7.084077,12487,96.66606666666667,3783
55,9.489038,33254,244.88789999999997,12778,6.094395,24975,167.5497,8429,5.04805,15105,95.02443333333333,4121
60,9.989263,44537,262.7925,16456,6.019998,31592,144.97666666666666,10219,5.224322,17910,99.92603333333334,4537
65,11.180053,59982,304.45726666666667,22317,5.068878,40076,135.8771,12423,6.057888,21167,162.9443,4862
70,11.5825,80085,322.3769,29976,5.770001,50590,143.27060000000003,15449,8.426062,24547,108.34043333333334,5255
75,15.266622,109358,420.11016666666666,44349,5.839348,63884,151.7124,19807,8.068348,28281,107.1887,5605
80,17.118533,155492,453.4164666666666,67140,6.232788,80934,157.189,25400,7.460696,32121,106.8104,6045
85,21.668391,232270,615.1610999999999,117542,8.044605,105212,189.41223333333335,35956,7.944661,36225,126.7634,6483
90,26.662642,388614,1067.9055,261958,8.944511,141667,211.5122666666667,54367,9.618115,40660,114.72703333333334,6777
91,33.542555,438079,1248.1485666666665,311028,9.563294,151861,221.94186666666667,61678,8.952667,41578,102.96793333333333,6873
92,36.568663,503208,1293.5726333333334,388930,8.948839,163008,220.8211666666667,69423,10.033444,42512,101.75420000000001,7024
93,32.885011,590372,1610.2925333333333,496464,9.721444,175727,251.2360666666667,79269,8.815215,43445,101.20803333333333,7016
94,36.682492,701654,2020.9378000000004,677532,10.201262,191227,281.86016666666666,96643,9.071564,44388,103.57813333333333,7027
95,42.87701,847319,2858.228333333333,910465,10.104275,210060,299.5065,114003,10.503876,45336,102.48003333333332,7232
96,54.872786,1091308,4553.0615,1723431,11.498777,233070,388.72839999999997,146738,10.153774,46283,95.90163333333334,7274
97,69.124762,1458650,7277.990866666667,2336586,14.791433,264604,424.19076666666666,201016,11.166689,47257,91.41416666666665,7383
98,93.142873,2143910,17208.415566666667,6069976,13.022946,313313,560.3986666666666,315438,10.297097,48281,152.2798,7426
99,150.655061,3720401,26066.072266666666,11906097,15.179995,403553,1312.3654666666666,724299,11.084999,49285,105.96703333333333,7638
